Timestamp,Elapsed_sec,CPU%,Memory_MB,Events/sec,Freeze_ms,Activity,CpuSpikes,MemLeaks,EventStorms
04:19:37,188.2,63.0,700,3814,0,ProcessData,0,0,0
04:19:38,189.2,73.6,682,1510,0,ProcessData,0,0,0
04:19:39,190.2,75.5,699,1556,0,ProcessData,0,0,0
04:19:41,191.8,72.7,726,3557,565,ProcessData,0,0,0
04:19:41,192.1,56.0,741,8209,0,ProcessData,0,0,0
04:19:42,193.3,75.2,707,3501,203,ProcessData,0,0,0
04:19:43,194.1,79.0,725,3371,0,ProcessData,0,0,0
04:19:44,195.1,75.4,714,3322,0,ProcessData,0,0,0
04:19:45,196.1,69.5,723,5610,0,ProcessData,0,0,0
04:19:46,197.1,74.8,720,3952,0,ProcessData,0,0,0
04:19:47,198.0,68.3,728,3280,0,ProcessData,0,0,0
04:19:48,199.1,76.6,724,3594,0,ProcessData,0,0,0
04:19:49,200.0,80.6,721,1659,0,ProcessData,0,0,0
04:19:50,201.0,64.7,739,6185,0,ProcessData,0,0,0
04:19:51,202.1,75.8,763,5123,0,ProcessData,0,0,0
04:19:52,203.0,72.4,771,3343,0,ProcessData,0,0,0
04:19:53,204.1,75.2,772,993,0,ProcessData,0,0,0
04:19:54,205.1,67.8,765,3130,0,ProcessData,0,0,0
04:19:55,206.1,77.6,766,2002,0,ProcessData,0,0,0
04:19:56,207.3,74.8,767,1414,227,ProcessData,0,0,0
04:19:57,208.2,76.0,776,2917,0,ProcessData,0,0,0
04:19:58,209.1,74.9,780,2446,0,ProcessData,0,0,0
04:19:59,210.0,69.6,768,5384,0,ProcessData,0,0,0
04:20:00,211.0,73.4,762,7467,0,ProcessData,0,0,0
04:20:01,212.0,71.1,768,4570,0,ProcessData,0,0,0
04:20:03,213.8,73.7,778,3633,782,ProcessData,0,0,0
04:20:03,214.1,61.6,795,9621,0,ProcessData,0,0,0
04:20:04,215.0,64.1,798,4926,0,ProcessData,0,0,0
04:20:05,216.0,76.9,782,3396,0,ProcessData,0,0,0
04:20:06,217.0,69.9,781,3827,0,ProcessData,0,0,0
04:20:07,218.3,71.8,793,2560,273,ProcessData,0,0,0
04:20:08,219.2,71.0,796,0,0,ProcessData,0,0,0
04:20:09,220.1,56.5,806,3611,0,ProcessData,0,0,0
04:20:10,221.1,80.7,794,3549,0,ProcessData,0,0,0
04:20:11,222.3,67.6,805,4116,0,ProcessData,0,0,0
04:20:12,223.2,65.6,793,3289,0,ProcessData,0,0,0
04:20:13,224.0,71.4,798,3939,0,ProcessData,0,0,0
04:20:14,225.1,64.9,798,2441,0,ProcessData,0,0,0
04:20:15,226.1,78.6,793,2705,0,ProcessData,0,0,0
04:20:16,227.4,72.7,803,5381,308,ProcessData,0,0,0
04:20:17,228.0,65.0,813,12128,0,ProcessData,0,0,0
04:20:18,229.1,66.5,809,5038,0,ProcessData,0,0,0
04:20:19,230.3,68.1,811,2708,203,ProcessData,0,0,0
04:20:20,231.0,61.4,814,6715,0,ProcessData,0,0,0
04:20:21,232.1,75.0,838,4757,0,ProcessData,0,0,0
04:20:22,233.2,80.1,837,2127,0,ProcessData,0,0,0
04:20:23,234.0,72.8,835,6160,0,ProcessData,0,0,0
04:20:24,235.1,73.3,827,2886,0,ProcessData,0,0,0
04:20:25,236.1,69.4,838,4039,0,ProcessData,0,0,0
04:20:26,237.1,79.6,839,0,0,ProcessData,0,0,0
04:20:27,238.1,66.4,843,5902,0,ProcessData,0,0,0
04:20:28,239.1,78.2,825,4780,0,ProcessData,0,0,0
04:20:29,240.1,72.0,852,7101,0,ProcessData,0,0,0
04:20:30,241.4,68.4,849,7530,327,ProcessData,0,0,0
04:20:31,242.1,69.8,854,2825,0,ProcessData,0,0,0
04:20:32,243.1,75.2,862,1609,0,ProcessData,0,0,0
04:20:33,244.0,72.7,866,4895,0,ProcessData,0,0,0
04:20:34,245.1,76.8,868,2659,0,ProcessData,0,0,0
04:20:35,246.1,71.4,884,4041,0,ProcessData,0,0,0
04:20:36,247.0,73.5,888,10550,0,ProcessData,0,0,0
04:20:37,248.1,71.2,864,5074,0,ProcessData,0,0,0
04:20:38,249.3,74.4,867,8525,210,ProcessData,0,0,0
04:20:39,250.1,74.1,846,3607,0,ProcessData,0,0,0
